YYB_SERVER = http://3.112.226.233:8000@1
脚本数量   = 168
间隔       = 4s

[  1/168] BREO.py                      -> 失败   7.1s
[  2/168] aiguo.js                     -> 成功   1.0s
[  3/168] aiguoyue.js                  -> 成功   1.4s
[  4/168] aima.js                      -> 失败   2.4s
[  5/168] ajier.js                     -> 成功   1.5s
[  6/168] ardywj.js                    -> 成功   3.9s
[  7/168] babycare.js                  -> 失败   4.2s
[  8/168] baimazhixuan.js              -> 成功   1.0s
[  9/168] bjhqbwz.py                   -> 成功   3.5s
[ 10/168] bluedash.js                  -> 成功   1.0s
[ 11/168] bmsb.js                      -> 失败   3.8s
[ 12/168] bqs.js                       -> 异常退出 0.0s
[ 13/168] bydhy.js                     -> 异常退出 0.0s
[ 14/168] camel.js                     -> 异常退出 0.0s
[ 15/168] campari.js                   -> 异常退出 0.0s
[ 16/168] casetify.js                  -> 异常退出 0.1s
[ 17/168] choubao.js                   -> 异常退出 0.1s
[ 18/168] colorful.js                  -> 异常退出 0.0s
[ 19/168] dasenlin.js                  -> 异常退出 0.0s
[ 20/168] ddyx.js                      -> 异常退出 0.0s
[ 21/168] dfmfs.js                     -> 异常退出 0.0s
[ 22/168] dfrc.js                      -> 异常退出 0.0s
[ 23/168] dsmmhy.js                    -> 异常退出 0.1s
[ 24/168] dstx.js                      -> 异常退出 0.0s
[ 25/168] dtsh.js                      -> 异常退出 0.0s
[ 26/168] dw.js                        -> 异常退出 0.0s
[ 27/168] fafa.js                      -> 异常退出 0.0s
[ 28/168] feihe.js                     -> 异常退出 0.0s
[ 29/168] fej.js                       -> 异常退出 0.1s
[ 30/168] fhxmh.js                     -> 异常退出 0.0s
[ 31/168] fmy.js                       -> 异常退出 0.0s
[ 32/168] fsdlb.js                     -> 异常退出 0.0s
[ 33/168] fuyouhui.js                  -> 异常退出 0.1s
[ 34/168] fxh.js                       -> 异常退出 0.0s
[ 35/168] fyzq.js                      -> 异常退出 0.0s
[ 36/168] gac.js                       -> 异常退出 0.0s
[ 37/168] gujiajiaju.js                -> 异常退出 0.0s
[ 38/168] guyu.js                      -> 异常退出 0.1s
[ 39/168] gyjj.js                      -> 异常退出 0.2s
[ 40/168] haier.js                     -> 异常退出 0.1s
[ 41/168] haitian.js                   -> 异常退出 0.0s
[ 42/168] hisense_aijia.js             -> 异常退出 0.0s
[ 43/168] hlyili.js                    -> 异常退出 0.0s
[ 44/168] hlzj.js                      -> 异常退出 0.0s
[ 45/168] hongsehuojian.py             -> 异常退出 0.3s
[ 46/168] hougongfang.js               -> 异常退出 0.1s
[ 47/168] hrj.js                       -> 异常退出 0.0s
[ 48/168] huazhu.js                    -> 异常退出 0.1s
[ 49/168] hxek.js                      -> 异常退出 0.1s
[ 50/168] iqoo.js                      -> 异常退出 0.1s
[ 51/168] iyouke.js                    -> 异常退出 0.0s
[ 52/168] jdbclub.js                   -> 异常退出 0.1s
[ 53/168] jdcode.js                    -> 异常退出 0.0s
[ 54/168] jdyj.js                      -> 异常退出 0.0s
[ 55/168] jingjianx_all.js             -> 异常退出 0.0s
[ 56/168] jingyoujia.js                -> 异常退出 0.0s
[ 57/168] jlc.js                       -> 异常退出 0.0s
[ 58/168] jsb.js                       -> 异常退出 0.0s
[ 59/168] jtc.js                       -> 异常退出 0.1s
[ 60/168] junpinhui.js                 -> 异常退出 0.1s
[ 61/168] juziyingtao.js               -> 异常退出 0.0s
[ 62/168] jx.js                        -> 异常退出 0.0s
[ 63/168] jyk.js                       -> 异常退出 0.0s
[ 64/168] jyxe.js                      -> 异常退出 0.1s
[ 65/168] kangshifu.js                 -> 异常退出 0.0s
[ 66/168] kekoukele.js                 -> 异常退出 0.0s
[ 67/168] kuaijihe.js                  -> 异常退出 0.1s
[ 68/168] laobanfw.js                  -> 异常退出 0.1s
[ 69/168] ldxq.js                      -> 异常退出 0.0s
[ 70/168] lieer.js                     -> 异常退出 0.0s
[ 71/168] liquanpijiu.py               -> 异常退出 0.2s
[ 72/168] lmf.js                       -> 异常退出 0.1s
[ 73/168] longfor.js                   -> 异常退出 0.0s
[ 74/168] lthwy.js                     -> 异常退出 0.1s
[ 75/168] lvbizi.js                    -> 异常退出 0.0s
[ 76/168] maopu.js                     -> 异常退出 0.1s
[ 77/168] mcyp.js                      -> 异常退出 0.1s
[ 78/168] mdhy.js                      -> 异常退出 0.1s
[ 79/168] mdxtn.js                     -> 异常退出 0.1s
[ 80/168] mengxiangjia.js              -> 异常退出 0.1s
[ 81/168] mfd.js                       -> 异常退出 0.1s
[ 82/168] mifengjingxishe.js           -> 异常退出 0.0s
[ 83/168] mimengshenghuo.js            -> 异常退出 0.1s
[ 84/168] miqilin.js                   -> 异常退出 0.0s
[ 85/168] mobil.js                     -> 异常退出 0.1s
[ 86/168] mscxh.js                     -> 异常退出 0.1s
[ 87/168] mtyl.js                      -> 异常退出 0.1s
[ 88/168] musi.js                      -> 异常退出 0.1s
[ 89/168] mxbc.js                      -> 异常退出 0.1s
[ 90/168] nestle.js                    -> 异常退出 0.0s
